gs_cat,gs_subcat,gs_name,gene_symbol,entrez_gene,ensembl_gene,human_gene_symbol,human_entrez_gene,human_ensembl_gene,gs_id,gs_pmid,gs_geoid,gs_exact_source,gs_url,gs_description
39,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,BAD,572,ENSG00000002330,BAD,572,ENSG00000002330,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
40,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,CHRNB1,1140,ENSG00000170175,CHRNB1,1140,ENSG00000170175,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
41,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,CHRNB1,1140,ENSG00000283946,CHRNB1,1140,ENSG00000283946,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
42,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,CHRNG,1146,ENSG00000196811,CHRNG,1146,ENSG00000196811,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
43,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,FASLG,356,ENSG00000117560,FASLG,356,ENSG00000117560,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
44,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,FOXO3,2309,ENSG00000118689,FOXO3,2309,ENSG00000118689,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
45,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,MUSK,4593,ENSG00000030304,MUSK,4593,ENSG00000030304,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
46,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,PIK3CA,5290,ENSG00000121879,PIK3CA,5290,ENSG00000121879,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
47,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,PIK3CG,5294,ENSG00000105851,PIK3CG,5294,ENSG00000105851,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
48,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,PIK3R1,5295,ENSG00000145675,PIK3R1,5295,ENSG00000145675,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
49,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,PTK2B,2185,ENSG00000120899,PTK2B,2185,ENSG00000120899,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
50,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,RAPSN,5913,ENSG00000165917,RAPSN,5913,ENSG00000165917,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
51,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,TERT,7015,ENSG00000164362,TERT,7015,ENSG00000164362,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
52,C2,CP:BIOCARTA,BIOCARTA_ACH_PATHWAY,YWHAH,7533,ENSG00000128245,YWHAH,7533,ENSG00000128245,M16884,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_achPathway.gif,Role of nicotinic acetylcholine receptors in the regulation of apoptosis
53,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,ABI2,10152,ENSG00000138443,ABI2,10152,ENSG00000138443,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
54,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,ACTA1,58,ENSG00000143632,ACTA1,58,ENSG00000143632,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
55,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,NCK1,4690,ENSG00000158092,NCK1,4690,ENSG00000158092,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
56,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,NCKAP1,10787,ENSG00000061676,NCKAP1,10787,ENSG00000061676,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
57,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,NTRK1,4914,ENSG00000198400,NTRK1,4914,ENSG00000198400,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
58,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,PIR,8544,ENSG00000087842,PIR,8544,ENSG00000087842,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
59,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,PSMA7,5688,ENSG00000101182,PSMA7,5688,ENSG00000101182,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
60,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,RAC1,5879,ENSG00000136238,RAC1,5879,ENSG00000136238,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
61,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,WASF1,8936,ENSG00000112290,WASF1,8936,ENSG00000112290,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
62,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,WASF2,10163,ENSG00000158195,WASF2,10163,ENSG00000158195,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
63,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,WASF3,10810,ENSG00000132970,WASF3,10810,ENSG00000132970,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
64,C2,CP:BIOCARTA,BIOCARTA_ACTINY_PATHWAY,WASL,8976,ENSG00000106299,WASL,8976,ENSG00000106299,M7825,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_actinYPathway.gif,Y branching of actin filaments
65,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,ARRB1,408,ENSG00000137486,ARRB1,408,ENSG00000137486,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
66,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,GNAS,2778,ENSG00000087460,GNAS,2778,ENSG00000087460,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
67,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,GRK4,2868,ENSG00000125388,GRK4,2868,ENSG00000125388,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
68,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,PRKACB,5567,ENSG00000142875,PRKACB,5567,ENSG00000142875,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
69,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,PRKACG,5568,ENSG00000165059,PRKACG,5568,ENSG00000165059,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
70,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,PRKAR1A,5573,ENSG00000108946,PRKAR1A,5573,ENSG00000108946,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
71,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,PRKAR1B,5575,ENSG00000188191,PRKAR1B,5575,ENSG00000188191,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
72,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,PRKAR2A,5576,ENSG00000114302,PRKAR2A,5576,ENSG00000114302,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
73,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,PRKAR2B,5577,ENSG00000005249,PRKAR2B,5577,ENSG00000005249,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
74,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,PRKAR2B,5577,ENSG00000284096,PRKAR2B,5577,ENSG00000284096,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
75,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,PRKCA,5578,ENSG00000154229,PRKCA,5578,ENSG00000154229,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
76,C2,CP:BIOCARTA,BIOCARTA_AGPCR_PATHWAY,PRKCB,5579,ENSG00000166501,PRKCB,5579,ENSG00000166501,M19829,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agpcrPathway.gif,Attenuation of GPCR Signaling
77,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,ACTA1,58,ENSG00000143632,ACTA1,58,ENSG00000143632,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
78,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,AGRN,375790,ENSG00000188157,AGRN,375790,ENSG00000188157,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
79,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,ARHGEF6,9459,ENSG00000129675,ARHGEF6,9459,ENSG00000129675,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
80,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,CDC42,998,ENSG00000070831,CDC42,998,ENSG00000070831,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
81,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,CHRM1,1128,ENSG00000168539,CHRM1,1128,ENSG00000168539,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
82,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,CHRNA1,1134,ENSG00000138435,CHRNA1,1134,ENSG00000138435,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
83,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,CTTN,2017,ENSG00000085733,CTTN,2017,ENSG00000085733,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
84,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,CTTN,2017,ENSG00000288401,CTTN,2017,ENSG00000288401,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
85,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,DAG1,1605,ENSG00000173402,DAG1,1605,ENSG00000173402,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
86,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,DMD,1756,ENSG00000198947,DMD,1756,ENSG00000198947,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
87,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,DVL1,1855,ENSG00000107404,DVL1,1855,ENSG00000107404,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
88,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,EGFR,1956,ENSG00000146648,EGFR,1956,ENSG00000146648,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
89,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,GIT2,9815,ENSG00000139436,GIT2,9815,ENSG00000139436,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
90,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,ITGB1,3688,ENSG00000150093,ITGB1,3688,ENSG00000150093,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
91,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,JUN,3725,ENSG00000177606,JUN,3725,ENSG00000177606,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
92,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,LAMA2,3908,ENSG00000196569,LAMA2,3908,ENSG00000196569,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
93,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,LAMA3,3909,ENSG00000053747,LAMA3,3909,ENSG00000053747,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
94,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,LAMA4,3910,ENSG00000112769,LAMA4,3910,ENSG00000112769,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
95,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,MAPK1,5594,ENSG00000100030,MAPK1,5594,ENSG00000100030,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
96,C2,CP:BIOCARTA,BIOCARTA_AGR_PATHWAY,MAPK3,5595,ENSG00000102882,MAPK3,5595,ENSG00000102882,M6220,,,,https://data.broadinstitute.org/gsea-msigdb/msigdb/biocarta/human/h_agrPathway.gif,Agrin in Postsynaptic Differentiation
